Date,Close,Volume
27/08/2013,14.11,122534200
26/08/2013,14.49,68938900
23/08/2013,14.57,67699200
22/08/2013,14.57,76348300
21/08/2013,14.34,91680600
20/08/2013,14.29,114332500
19/08/2013,14.15,98384600
16/08/2013,14.42,104959000
15/08/2013,14.32,99238900
14/08/2013,14.6,78553700
13/08/2013,14.51,75777900
12/08/2013,14.41,60867500
09/08/2013,14.45,72897900
08/08/2013,14.61,88544100
07/08/2013,14.53,128693600
06/08/2013,14.64,84249800
05/08/2013,14.8,61711900
02/08/2013,14.84,83367400
01/08/2013,14.95,108554200
31/07/2013,14.6,128182500
30/07/2013,14.52,71675200
29/07/2013,14.52,88616700
26/07/2013,14.73,73777800
25/07/2013,14.83,89243300
24/07/2013,14.71,117771100
23/07/2013,14.94,113736000
22/07/2013,14.92,112416800
19/07/2013,14.75,136196600
18/07/2013,14.76,221796400
17/07/2013,14.31,249674500
16/07/2013,13.92,146041900
15/07/2013,13.88,90765200
12/07/2013,13.78,123958400
11/07/2013,13.51,93756500
10/07/2013,13.37,104353400
09/07/2013,13.53,106067300
08/07/2013,13.28,107441200
05/07/2013,13.06,80758500
03/07/2013,12.83,37971700
02/07/2013,12.9,83708600
01/07/2013,12.93,83146300
28/06/2013,12.86,90297100
27/06/2013,13.01,124616300
26/06/2013,12.76,105282000
25/06/2013,12.67,132844500
24/06/2013,12.3,159762500
21/06/2013,12.69,196004700
20/06/2013,12.89,185741100
19/06/2013,13.19,103850000
18/06/2013,13.27,67257600
17/06/2013,13.21,115441500
14/06/2013,13.07,101380700
13/06/2013,13.21,103636400
12/06/2013,13.06,117289400
11/06/2013,13.12,106369100
10/06/2013,13.3,104648500
07/06/2013,13.38,121057300
06/06/2013,13.2,142361900
05/06/2013,13.09,185778900
04/06/2013,13.36,130055400
03/06/2013,13.55,197168200
31/05/2013,13.66,160176100
30/05/2013,13.83,153383400
29/05/2013,13.48,126397300
28/05/2013,13.35,133553000
24/05/2013,13.24,83452600
23/05/2013,13.21,190522000
22/05/2013,13.31,174531500
21/05/2013,13.44,111810300
20/05/2013,13.51,88941700
17/05/2013,13.43,107335600
16/05/2013,13.36,117977000
15/05/2013,13.44,139728300
14/05/2013,13.34,154128100
13/05/2013,12.98,94295600
10/05/2013,13.02,87625100
09/05/2013,12.91,112952300
08/05/2013,13.02,149755400
07/05/2013,12.9,218248100
06/05/2013,12.88,265062800
03/05/2013,12.24,94322600
02/05/2013,12.19,76530500
01/05/2013,12.14,88417800
30/04/2013,12.31,89362100
29/04/2013,12.38,65432400
26/04/2013,12.42,83093200
25/04/2013,12.44,118694600
24/04/2013,12.31,120624900
23/04/2013,12.07,176816000
22/04/2013,11.72,88532300
19/04/2013,11.66,119792000
18/04/2013,11.44,220290500
17/04/2013,11.7,335408600
16/04/2013,12.28,147641900
15/04/2013,11.98,176504300
12/04/2013,12.17,88191700
11/04/2013,12.27,100241900
10/04/2013,12.32,105853900
09/04/2013,12.25,132365800
08/04/2013,12.21,101419200
05/04/2013,11.97,141061900
04/04/2013,11.94,117831400
03/04/2013,11.81,199765800
02/04/2013,12.15,102626000
01/04/2013,12.15,86281600
28/03/2013,12.18,92013900
27/03/2013,12.23,107177200
26/03/2013,12.28,135654700
25/03/2013,12.4,154320200
22/03/2013,12.56,101974400
21/03/2013,12.57,154529400
20/03/2013,12.78,219121700
19/03/2013,12.71,242939600
18/03/2013,12.56,189783300
15/03/2013,12.57,319019100
14/03/2013,12.11,115440000
13/03/2013,12.06,86216800
12/03/2013,12.01,128134700
11/03/2013,12.15,106427800
08/03/2013,12.07,209777100
07/03/2013,12.26,212403800
06/03/2013,11.92,182557500
05/03/2013,11.55,135869700
04/03/2013,11.41,116436000
01/03/2013,11.34,189050700
28/02/2013,11.23,143546700
27/02/2013,11.3,147145400
26/02/2013,11.13,173039600
25/02/2013,11.03,206893900
22/02/2013,11.44,179268200
21/02/2013,11.42,235532400
20/02/2013,11.8,193466400
19/02/2013,12.19,170783400
15/02/2013,12.03,158242700
